"key","section","title","file_candidates","caption","todo"
"key_quantity_summary","Model outputs","Key quantity summary","tables/generated/key-quantity-summary.csv;key-quantity-summary.csv","Summary statistics for key stock assessment quantities for the selected {species_label} model set.","Run the plot task so key-quantity-summary.csv is available."
"recent_quantity_summary","Model outputs","Recent quantity summary","tables/generated/recent-quantity-summary.csv;recent-quantity-summary.csv","Latest and recent-average values for key assessment quantities for {species_label}.","Run the plot task so recent-quantity-summary.csv is available."
"quantity_definitions","Model outputs","Quantity definitions","tables/generated/quantity-definitions.csv;quantity-definitions.csv","Definitions and units for the quantities used in the report figures and tables.","Run the plot task so quantity-definitions.csv is available."
"change_impact_summary","Model outputs","Change impact summary","tables/generated/change-impact-summary.csv;change-impact-summary.csv","Token-level with-versus-without contrasts for latest key quantities across the configured base and sensitivity models.","Run the plot task with named sensitivity tokens so change-impact-summary.csv is available."
"fisheries_definitions","Data inputs","Fishery definitions","tables/fisheries_definitions.csv;Tables/fisheries_definitions.csv","Definition of fisheries for the {assessment_year} {species_label} stock assessment in the {assessment_area}.","Add the final {assessment_year} fishery definitions from the accepted assessment inputs."
"tag_definitions","Data inputs","Tag recapture and reporting groups","tables/tag_definitions.csv;Tables/tag_definitions.csv","Definition of fisheries and associated tag recapture and reporting-rate groupings.","Export the final {assessment_year} tag recapture and reporting-rate groups."
"grid_description","Model configuration","Structural uncertainty grid","tables/grid_description.csv;Tables/grid_description.csv","Structural uncertainty grid for the {assessment_year} {species_label} stock assessment. Diagnostic settings should be marked in the source table.","Fill from the agreed {assessment_year} uncertainty axes and levels."
"reference_point_symbols","Management quantities","Reference point symbol definitions","tables/reference_point_symbols.csv;Tables/reference_point_symbols.csv","Description of symbols used in yield and stock-status analyses.","Update the year ranges and reference-point definitions for the final {assessment_year} assessment."
"grid_outcomes","Management quantities","Reference point summaries","tables/grid_outcomes.csv;Tables/grid_outcomes.csv;reference-points.csv","Summary of reference points over the structural uncertainty grid and estimation uncertainty where available.","Generate from the final {assessment_year} management-advice grid."
"grid_diagnostics","Diagnostics","Grid convergence and jitter summary","tables/grid_diagnostics.csv;Tables/grid_diagnostics.csv;diagnostics-summary.csv","Objective functions, gradients, jitter improvements, Hessian status, and key stock-status diagnostics for grid models.","Add the final {assessment_year} diagnostic summary."
